host_id,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,amenities,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,NumberOfVerfication,govermentIdentification,numberofamentities
107379661,65,1,22,3/24/2019,11,1,0,12/15/2016,N/A,N/A,N/A,f,1,1,"['email', 'phone', 'facebook', 'jumio', 'offline_government_id', 'government_id']",t,f,3,1,1,2,"{TV,Wifi,Kitchen,""Free parking on premises"",""Smoke alarm"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Laptop-friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",Microwave,Refrigerator,Oven,Stove}",1125,1,1,1125,1125,1,1125,0,0,0,0,93,9,9,10,10,10,9,t,6,yes,18
122041980,1000,30,0,,,1,173,3/22/2017,N/A,N/A,N/A,f,1,1,"['email', 'phone', 'facebook']",t,f,12,1,1,1,"{TV,Wifi,""Air conditioning"",""Pets allowed"",Heating,""Suitable for events"",Essentials,Shampoo,Hangers}",1125,30,30,1125,1125,30,1125,23,53,83,0,,,,,,,,t,3,no,9
16999041,100,7,16,1/11/2020,22,3,329,6/19/2014,within a few hours,100%,100%,t,3,3,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,1,1,1,1,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace"",""translation missing: enhosting_amenity_49"",""translation missing: enhosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",90,7,7,90,90,7,90,0,24,54,3,100,10,10,10,10,10,10,f,5,no,36
16999041,100,7,15,11/30/2019,41,3,207,6/19/2014,within a few hours,100%,100%,t,3,3,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,1,15,1,1,"{TV,""Cable TV"",Wifi,Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace"",""translation missing: enhosting_amenity_49"",""translation missing: enhosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Host greets you""}",90,7,7,90,90,7,90,0,0,0,2,100,10,10,10,10,10,10,f,5,no,34
14242327,110,1,2,5/27/2019,12,1,0,4/13/2014,N/A,N/A,N/A,f,1,1,"['email', 'phone', 'reviews', 'kba']",t,t,3,2,2,2,"{TV,""Air conditioning"",Kitchen,Gym,""Hot tub"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Laptop-friendly workspace"",""Private living room""}",6,1,1,6,6,1,6,0,0,0,0,80,9,7,8,9,10,9,t,4,no,18
16999041,125,7,13,9/15/2019,18,3,207,6/19/2014,within a few hours,100%,100%,t,3,3,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,1,1,1,1,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace"",""translation missing: enhosting_amenity_49"",""translation missing: enhosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",90,7,7,90,90,7,90,0,0,0,1,100,10,10,10,10,10,10,f,5,no,37
25044306,125,1,4,11/29/2017,1,1,0,12/20/2014,N/A,N/A,N/A,f,1,1,"['email', 'phone', 'reviews']",t,f,4,2,2,2,"{TV,Wifi,Kitchen,""Free parking on premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace"",""translation missing: enhosting_amenity_50"",Bathtub}",21,1,1,21,21,1,21,0,0,0,0,100,10,10,10,10,10,10,f,3,no,20
137542522,150,1,1,7/21/2017,3,1,90,6/28/2017,N/A,N/A,N/A,f,1,1,"['phone', 'reviews']",t,f,2,1,1,1,"{TV,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Breakfast,Elevator,""Family/kid friendly"",Washer,Dryer,Essentials}",5,1,1,5,5,1,5,30,60,90,0,100,10,10,10,10,10,8,t,2,no,12
17104920,150,3,0,,,1,83,6/22/2014,N/A,N/A,N/A,f,1,1,"['phone', 'reviews', 'offline_government_id', 'kba', 'government_id']",t,f,2,2,1,1,"{Wifi,Kitchen,Breakfast,""Free street parking"",Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Laptop-friendly workspace"",""Hot water"",Microwave,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Host greets you""}",1125,3,3,1125,1125,3,1125,23,53,83,0,,,,,,,,t,5,yes,22
23298734,150,1,0,,,1,0,11/3/2014,N/A,N/A,N/A,f,1,1,"['email', 'phone', 'facebook', 'jumio', 'government_id']",t,t,2,1,1,1,"{TV,Wifi,Kitchen,""Free parking on premises"",""Pets allowed"",Heating,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",""Private entrance""}",7,1,1,7,7,1,7,0,0,0,0,,,,,,,,t,5,no,14
139306353,159,2,0,,,2,0,7/8/2017,within an hour,100%,89%,t,2,2,"['email', 'phone', 'reviews', 'kba']",t,t,4,1,2,2,"{TV,""Cable TV"",Wifi,Pool,Kitchen,""Free parking on premises"",""Free street parking"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace"",""Private living room"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",90,2,2,1125,1125,2,1125,0,0,0,0,,,,,,,,t,4,no,39
103732317,200,1,67,7/24/2020,217,7,210,11/14/2016,within an hour,100%,94%,f,9,9,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,f,4,15,1,3,"{TV,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Self check-in"",Keypad,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Shower gel"",""Baking sheet"",""Trash can""}",1125,1,1,1125,1125,1,1125,23,53,83,44,93,9,9,10,10,10,9,f,8,yes,38
25617057,350,1,1,7/22/2018,4,1,88,1/5/2015,N/A,N/A,N/A,f,1,1,"['email', 'phone', 'jumio', 'offline_government_id', 'government_id']",t,f,1,1,1,1,"{TV,Wifi,Kitchen,""Free parking on premises"",""Free street parking"",Washer,Dryer,""Smoke alarm"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""Private living room"",""Single level home""}",2,1,1,2,2,1,2,28,58,88,0,100,10,10,10,10,10,8,f,5,yes,17
