host_id,price,number_of_reviews,calculated_host_listings_count,availability_365,host_since_days,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,,host_identity_verified,accommodates,bathrooms,bedrooms,beds,avg_rm,availability_30,availability_60,availability_90,number_of_reviews_ltm,instant_bookable,NumberOfVerfication,govermentIdentification,numberofamentities
82380277,135,6,1,0,1589,f,1,1,t,1,t,2,1,0,1,0.666666667,0,0,0,0,t,5,no,21
130954997,135,0,22,365,1274,f,21,21,t,1,f,2,1,1,1,1,30,60,90,0,f,4,no,41
80938027,135,57,6,133,1596,t,6,6,t,1,t,6,1,2,2,1.666666667,2,16,46,57,t,7,yes,25
46954597,135,0,4,50,1851,t,1,1,t,1,f,6,1,3,4,2.666666667,10,40,50,0,f,5,yes,29
6863778,139,167,1,21,2711,t,1,1,t,1,t,2,1,1,1,1,12,21,21,25,f,5,no,42
3134951,140,297,2,356,3024,f,6,6,t,1,f,5,1,1,1,1,24,54,84,39,t,9,yes,33
16396099,140,23,3,87,2353,f,3,3,t,1,f,4,1,1,2,1.333333333,27,57,87,0,f,5,no,30
3974279,140,96,10,0,2940,t,11,11,t,1,t,6,2,2,4,2.666666667,0,0,0,42,f,9,yes,20
34557198,144,13,1,337,1993,f,1,1,t,1,t,2,1,1,2,1.333333333,2,32,62,0,f,5,no,31
1028043,145,71,37,357,3365,f,44,44,t,1,f,4,1,1,2,1.333333333,22,52,82,10,f,7,yes,41
45044564,145,60,2,53,1875,f,2,2,t,1,f,6,1,3,3,2.333333333,0,23,53,0,f,6,yes,22
999177,148,4,2,0,3371,f,2,2,t,1,t,2,1,0,1,0.666666667,0,0,0,1,t,6,no,19
1465280,149,123,1,54,3268,t,1,1,t,1,f,5,1,2,2,1.666666667,0,24,54,36,t,9,yes,37
16396099,150,13,3,87,2353,f,3,3,t,1,f,4,1,1,2,1.333333333,27,57,87,0,f,5,no,30
77968539,150,1,1,0,1611,f,1,1,t,1,f,5,1,1,2,1.333333333,0,0,0,0,t,3,no,17
80744375,150,3,1,267,1597,f,1,1,t,1,f,3,1,1,2,1.333333333,27,57,87,0,f,3,no,20
4557171,150,11,1,0,2871,f,1,1,t,1,t,4,1,0,3,1.333333333,0,0,0,0,t,8,no,15
