host_id,price,number_of_reviews,calculated_host_listings_count,availability_365,host_since_days,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,avg_rm,availability_30,availability_60,availability_90,number_of_reviews_ltm,instant_bookable,NumberOfVerfication,govermentIdentification,numberofamentities
40437709,80,10,1,90,1926,f,1,t,t,2,1,1,1,1,30,60,90,3,f,5,no,42
13270244,80,11,1,2,2429,f,1,t,t,2,1,1,1,1,0,0,0,0,f,4,no,30
39306682,80,43,3,0,1937,t,3,t,f,2,1,1,1,1,0,0,0,0,f,5,yes,40
280805146,85,0,1,90,469,f,0,t,f,2,1,1,1,1,30,60,90,0,t,2,no,16
223720057,110,4,1,0,740,f,1,t,f,2,1,0,1,0.666666667,0,0,0,0,f,4,yes,24
24733452,120,11,1,331,2161,f,2,t,f,2,1,1,1,1,6,26,56,0,t,5,yes,35
76386143,125,0,1,0,1617,f,1,t,f,2,1,1,1,1,0,0,0,0,f,2,no,13
193560886,125,38,1,0,890,f,1,t,f,3,1,1,1,1,0,0,0,9,t,6,yes,20
42427277,130,0,1,0,1905,f,1,t,t,2,1,1,1,1,0,0,0,0,f,5,no,16
22681513,150,0,1,89,2215,f,1,t,f,2,1,1,1,1,30,60,89,0,f,4,no,16
108169205,150,3,1,0,1419,f,2,t,f,2,1,1,1,1,0,0,0,0,t,8,yes,14
201474785,150,7,1,0,853,f,1,t,f,4,1,2,3,2,0,0,0,1,t,2,no,13
49282351,150,3,1,0,1820,f,1,t,t,2,1,1,1,1,0,0,0,0,t,7,yes,16
4504615,160,52,1,268,2875,t,1,t,f,4,2,3,3,2.666666667,29,59,89,7,f,5,no,29
119508792,170,4,3,0,1345,f,4,t,f,4,1,2,2,1.666666667,0,0,0,1,f,6,yes,37
17713555,175,0,1,179,2319,f,0,t,f,2,2,1,1,1.333333333,30,60,90,0,f,4,no,15
32051421,200,0,1,0,2024,f,1,t,t,2,1,1,1,1,0,0,0,0,f,7,yes,11
155840761,250,0,1,83,1114,f,1,t,f,2,1,1,1,1,23,53,83,0,t,2,no,19
110185428,250,0,2,0,1404,f,2,t,f,2,1,2,2,1.666666667,0,0,0,0,f,4,yes,22
39267987,300,1,1,89,1938,f,1,t,t,1,1,1,1,1,29,59,89,0,f,9,yes,21
